Company,web_domain
Symantec,https://securitycloud.symantec.com
Service Desk,https://servicedesk.nic.in
Nomadesk,https://www.nomadesk.com
BitTitan,https://www.bittitan.com
Microsoft,https://www.office.com
Sitelock,https://www.sitelock.com
McAfee,https://www.mcafee.com
OpenSRS,https://opensrs.com
Rpost,https://rpost.com
Dun & Bradstreet,https://www.dnb.co.in
Dropmysite,https://www.dropmysite.com
Yola,https://www.yola.com
Dropbox,https://www.dropbox.com
LawToolBox,https://www.lawtoolbox.com
Cisco,https://www.netacad.com
Ecwid,https://www.ecwid.com
Acronis,https://www.acronis.com
Softlayer,https://control.softlayer.com
SkyKick,https://www.skykick.com
Trend Micro,https://www.antivirus.com
Cirius,https://ciriustx.com
Go Mural,https://www.mural.co
IDSync,https://www.idsync.com
Mozy,https://www.carbonite.com
Eset,https://www.eset.com
NCR,https://www.ncr.com
Norton,https://in.norton.com
Autodesk,https://www.autodesk.in
Intermedia,https://www.intermedia.com
Docusign,https://www.docusign.in
IBM,https://www.ibm.com
Intuit,https://www.intuit.com
New Day at Work,https://newday.jobs
Nuance,https://www.nuance.com
Spamina,https://correotelecom.spamina.com
AWS,https://aws.amazon.com
NetConnect,https://www.netconnectglobal.com
Entrust Datacard,https://www.entrust.com
IBM Cloud,https://cloud.ibm.com
Google G Suite CMP,https://gsuitetips.com
Screen Connect,https://cloud.screenconnect.com
Kaspersky,https://www.kaspersky.co.in
Cloudamize,https://www.cloudamize.com
Avepoint,https://www.avepoint.com
HelloSign,https://www.hellosign.com
Proofpoint,https://www.proofpoint.com
Nerdio,https://getnerdio.com
Inhouse,http://www.inhouseindia.com
Apptivo,https://www.apptivo.com
Axcient,https://axcient.com
Azamba,https://www.azamba.com
Boolebox,https://www.boolebox.com
Cloud9,https://www.cloud9.gg
Cooper_Parry,https://cooperparry.com
doForms,https://www.doforms.com
Jamf,https://www.jamf.com
Letsignit,https://www.letsignit.io
NAB,https://www.nab.com.au
Partner Care,https://partnercare.rs
Perimeter 81,https://www.perimeter81.com
Pickit,https://www.pickit.com
qunifiOneVoice,https://www.qunifi.com
QunifyCall2Teams,https://www.call2teams.com
RSupport,https://www.rsupport.com
SaneBox,https://www.sanebox.com
SOTI,https://www.soti.net
Spiraldesk,https://www.spiraldesk.com
Storage Guardian,https://www.storageguardian.com
Taimer,https://taimer.com
Teamleader,https://www.teamleader.eu
Teamviewer,https://www.teamviewer.com
Veeam,https://www.veeam.com
Veritas,https://www.veritas.com
VMware,https://www.vmware.com
WebSan,https://www.websan.com
WittyParrot,https://www.wittyparrot.com
Zerospam,https://zerospam.ca
Alert Logic,https://www.alertlogic.com
Check Point,https://www.checkpoint.com
APC Schneider Electric,https://www.apc.com
ArcServe,https://www.arcserve.com
Mimecast,https://www.mimecast.com
Balbix,https://www.balbix.com
42Gears,https://www.42gears.com
Accordo,https://accordo.com
Adobe,https://www.adobe.com
airSlate,https://www.airslate.com
Airtame,https://airtame.com
Anyroute,https://www.anyroute.cloud
Aquastar Consulting,https://www.aquastar-consulting.com
Atomian,https://www.atomian.com
Backflipt,https://backflipt.com
BÜROELEKTRONIK,https://www.bueroelektronik.ch
Bass International Software,https://www.linkedin.com
Best IT,https://bestitcentre.com
Blizz,https://blizz.en.softonic.com
Bundesdruckerei,https://www.bundesdruckerei.de
ChatLayer,https://chatlayer.ai
Cloud Worldwide Services,https://cloudworldwideservices.com
CloudMaker,https://cloudmaker.ai
Code 42,https://www.code42.com
ConnectWise,https://www.connectwise.com
ContractZen App,https://www.contractzen.com
Corent,https://www.corenttech.com
Coreview,https://www.coreview.com
EBF,https://www.ebf.eu
EMDYN dSecure,https://www.emdyn.com
Evernote,https://evernote.com
Fortinet,https://www.fortinet.com
Fotopia,https://www.fotopia.com.hk
FreshBooks,https://www.freshbooks.com
Geoservice,http://geoservice.gr
GoToMeeting,https://www.gotomeeting.com
Guardian360,https://www.guardian360.net
Haldor,https://www.topsoe.com
Holmes,https://www.holmes.edu.au
Hostopia Deluxe,https://www.hostopia.com
InfoSaaS,https://www.infosaas.com
ITagree,https://itagree.com
ITsMine,https://itsmine.io
Konibit,https://www.konibit.com
LogMeIn,https://www.logmein.com
Mandarine Academy,https://mandarine.academy
Metallic,https://metallic.io
Metavoxx,https://metavoxx.com
Movere,https://www.movere.io
NS8,https://www.avolin.com
Nyotron,https://www.nyotron.com
PIXM,https://www.pixm.net
RushFiles,https://www.rushfiles.com
Samsung,https://www.samsung.com
Service Aide,https://serviceaide.com
Shortpoint,https://www.shortpoint.com
SignTech,http://www.signtech.com
Sophos,https://www.sophos.com
SyncDog,https://www.syncdog.com
Syndication,https://www.merriam-webster.com
TelAgility,https://www.telagility.biz
TimeAPP,https://timeapp.in
Vault America,https://www.vaultamerica.com
VineWave,https://www.vinewave.com
V-Key,https://www.v-key.com
Wedge Networks,https://www.wedgenetworks.com
Zetaris,https://www.zetaris.com
Ziwo,https://www.ziwo.io
Bitdefender,https://www.bitdefender.com
Harmony,https://www.dictionary.com
Apple,https://www.apple.com
Palo Alto,https://www.paloaltonetworks.in
Polycom,https://www.poly.com
Salesforce,https://www.salesforce.com
ApoQlar,https://apoqlar.com
